"","category_revision2","operationalisation","bibtexkey","author","title","year","category"
"380","kindOfPerson","Do you feel like you have the profile of someone who does a lot physical activity?","santina2017psychosocial","Santina, Tania and Godin, Gaston and Gagn{\'e}, Camille and Guillaumie, Laurence","Psychosocial determinants of physical activity at school among Lebanese children: an application of the planned behavior theory","2017","kindOfPerson"
"156","meansMoreThan"," “For me, being a blood donor means more than just donating blood” ","2003-04231-00720010701","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001","meansMoreThan"
"162","meansMoreThan","“For me, being a blood donor means more than just donating blood” ","2003-04231-00720010701","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001","meansMoreThan"
"176","meansMoreThan"," “For me. alcohol consumption means more than just having a drink” ","1999-15251-00519990801","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behavior.","1999","meansMoreThan"
"187","meansMoreThan"," ` For me, being a cannabis/marijuana user means more than just using cannabis/marijuana’ ","1999-05902-00519990601","Conner, Mark and McMillan, Brian","Interaction effects in the theory of planned behavior: Studying cannabis use.","1999","meansMoreThan"
"282","meansMoreThan"," ‘‘For me, being a volunteer means more than just volunteer work’’","veludo2013accounting","Veludo-de-Oliveira, Tania and Pallister, John G and Foxall, Gordon R","Accounting for sustained volunteering by young people: An expanded TPB","2013","meansMoreThan"
"333","meansMoreThan","“For me, being a blood donor means more than just donating blood,” ","wevers2014return","Wevers, Anne and Wigboldus, Dani{\""e}l HJ and Baaren, Rick and Veldhuizen, Ingrid JT","Return behavior of occasional and multigallon blood donors: the role of theory of planned behavior, self-identity, and organizational variables","2014","meansMoreThan"
"370","meansMoreThan"," “For me. alcohol consumption means more than just having a drink” ","conner1999alcohol","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behaviorid","1999","meansMoreThan"
"159","rarelyEvenThinkAbout","; “Blood donation is something I rarely even think about” (strongly agree-strongly disagree); ","2003-04231-00720010701","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001","rarelyEvenThinkAbout"
"175","rarelyEvenThinkAbout"," “Drinking alcohol is something I rarely even think about” ","1999-15251-00519990801","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behavior.","1999","rarelyEvenThinkAbout"
"256","rarelyEvenThinkAbout"," Supplement use is something I rarely even think about ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","rarelyEvenThinkAbout"
"332","rarelyEvenThinkAbout"," “Blood donation is something I rarely think about”","mcmahon2008predicting","McMahon, Roz and Byrne, Molly","Predicting donation among an Irish sample of donors and nondonors: extending the theory of planned behavior","2008","rarelyEvenThinkAbout"
"369","rarelyEvenThinkAbout"," “Drinking alcohol is something I rarely even think about” ","conner1999alcohol","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behaviorid","1999","rarelyEvenThinkAbout"
"16",NA," study 2 ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016",NA
"17",NA," 3 items ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016",NA
"21",NA," reference ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016",NA
"38",NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA
"59",NA,"Behavior: in which respondents were asked to indicate whether engaging in sufficient exercise was something: ","2012-23507-00920121101","de Bruijn, Gert-Jan and Verkooijen, Kirsten and de Vries, Nanne K. and van den Putte, Bas","Antecedents of self identity and consequences for action control: An application of the theory of planned behaviour in the exercise domain.","2012",NA
"67",NA," ( . . . drink[ing] more than 8 units on one occasion . . . ) ","2012-18108-00920120901","Gardner, Benjamin and de Bruijn, Gert-Jan and Lally, Phillippa","Habit, identity, and repetitive action: A prospective study of binge-drinking in UK students.","2012",NA
"85",NA,NA,NA,NA,NA,NA,NA
"89",NA," enjoying eating, ","2011-07880-00520110501","Jenkins, Catherine M. and McKenzie, Karen","The application of the theory of planned behaviour to diet in carers of people with an intellectual disability.","2011",NA
"92",NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA
"102",NA," no reference, 3 items, only 1 mentioned","2010-14682-00520100801","Burger, Christoph and Riemer, Valentin and Grafeneder, Jürgen and Woisetschläger, Bianca and Vidovic, Dragana and Hergovich, Andreas","Reaching the mobile respondent: Determinants of high-level mobile phone use among a high-coverage group.","2010",NA
"134",NA,NA,NA,NA,NA,NA,NA
"140",NA,NA,NA,NA,NA,NA,NA
"169",NA,NA,NA,NA,NA,NA,NA
"178",NA," no reference ","1999-15251-00519990801","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behavior.","1999",NA
"179",NA," study 2: no reference ","1999-15251-00519990801","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behavior.","1999",NA
"205",NA,NA,NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA,NA,NA
"279",NA," These were measured on five-point Likert-type scales with endpoints ","hagger2007aspects","Hagger, Martin S and Anderson, Melissa and Kyriakaki, Maria and Darkings, Sandra","Aspects of identity and their influence on intentional behavior: Comparing effects for three health behaviors","2007",NA
